label,generated_text
1,a close up of a cowboy wearing a hat
1,an older man wearing a cowboy hat
1,a man wearing a cowboy hat
1,an older man posing with plants in the background
1,an older man with brown hair and grey eyes
1,a man looking into the camera
1,the woman with curly hair is making a speech into the microphone
1,woman with curly hair standing in front of microphone
1,a woman speaking into a microphone
1,an older man wearing a baseball cap smiling for the camera
1,an old man with glasses in a shirt and cap
1,an older man wearing a white shirt
1,the man in pink shirt is in the middle of a plant
1,a man wearing a pink shirt with white stripes
1,a man wearing a green beanie and hat is taking a selfie
1,a man taking a selfie at the train station
1,a man in a cap and beanie next to a train
1,a man with an eye-catching tribal face tattoo
1,a man with a face and beard is tattooed on his face
1,a man with a tattoo on his face
1,the man is wearing a black jacket
1,a man with glasses wearing black jacket and blue shirt
1,an older man wearing a black jacket and glasses
1,man with hat and scarf in the snow
1,an older man in a beanie and a shirt standing with a child in the snow
1,man smiling while holding a sign in his hand
1,black man wearing a hoodie smiling outside
1,a man wearing an aran sweater with a mountain backdrop
1,a man in green jacket smiles in front of mountains
1,a man smiling with mountains in the background
1,a man wearing a black coat is smiling at a white wall
1,a man smiling at the camera with gray shirt
1,an older woman with curly hair sitting at a microphone
1,a woman with curly hair speaking to microphone
1,the woman is speaking into a microphone
1,a man in suit and tie smiling while standing outside
1,an asian man with a white shirt and tie
1,a man wearing a suit and tie smiles
1,a woman wearing floral shirt looking at camera
1,a woman holding a plate of food
1,a woman with a white shirt and hair is holding a flower and wine
1,a man standing next to a group of children
1,a smiling man wearing a suit and tie
1,a man in a suit smiling
1,asian man wearing a white shirt and tie
1,a man in business attire smiling with his hands together
1,a smiling man in a suit and tie
1,a man in a suit and tie smiles
1,man in suit smiling in front of old building
1,the man in grey top is smiling
1,an asian man smiling with his arms out
1,a korean man wearing a gray sweater smiling at the camera
1,man wearing red baseball cap
1,an old man wearing a baseball cap
1,an older man with a hat and mustache
1,a man with a tiara and a smile on his face
1,an older man is wearing a tinsel and tassel hat
1,an older man with tangled up hair in a party
1,a man speaking in a microphone
1,a man in a plaid shirt holding a microphone
1,a man with curly hair is staring down at the cell phone
1,man with curly hair and a purple shirt
1,a curly haired man on a cell phone
1,a man in a suit and tie with a red flag
1,a man in a suit and tie looks at the camera
1,a man with a tie in front of a wall
1,a man smiling wearing an orange bandana
1,man with orange hair
1,a smiling man wearing an orange bandana
1,a man in a black hat
1,the man is wearing a blue hat
1,man is smiling
1,an elderly man looking into the distance
1,an asian man is holding a microphone and is looking down
1,a man and woman in a red shirt and hat
1,a man and woman smile for the camera
1,man in red sweater with red hat
1,a man wearing blue sunglasses
1,the man is wearing orange
1,the man is wearing a white hat
1,a woman putting a hat on a man
1,a man in a hat
1,an older man with a bandana and a blue shirt standing in front of a woods
1,a man with a purple headband and a blue shirt
1,a man in red jacket looking at the camera
1,"a man with a red jacket, standing in front of a window"
1,chinese man in red jacket looks at camera
1,the man has dark skin
1,man in front of camera
1,man wearing black glasses
1,a veteran with many medals wearing a hat
1,a man wearing a navy hat and wearing a military uniform
1,an older veteran wearing a cap with a hat
1,a smiling woman in a black jacket and white shirt
1,a smiling woman with black hair is wearing a black shirt
