label,generated_text
3,a male pole vaulter on the runway
3,a woman is performing a pole vault over a high bar
3,a boy doing the pole vault
3,a male pole vaulter
3,pole vaulter jumps over pole
3,a woman jumping through the air over pole vault
3,a pole vaulter leaping through the air in the air
3,pole vaulter samantha van der heyde wins pole vault -
3,sam mcdonald pole vault - july 2013
3,a woman performing an Olympic sport of pole vaulting
3,woman pole vaulting in the air with poles
3,woman pole vaulter on a track
3,a female pole vaulter jumps high in the air with her pole
3,an athlete in orange jumps through the pole vault
3,pole vaulter in pole vault in an outdoor field
3,a pole vaulter in a red shirt in the air
3,a male pole vaulter in mid air
3,a young male pole vaulter in mid air
3,a man in the air while doing a pole vault
3,a boy jumping in the pole vault over the bar
3,a pole vaulter jumping off a pole in the air
3,high school pole vaulter
3,a person in a pole vault
3,the pole vault is a tough competition for pole vaulters
3,pole vaulter is doing a high jump with the pole in air
3,pole vaulting in action image courtesy of bc
3,a female pole vaulter is in mid air
3,a female pole vaulter
3,a female pole vaulter performing a routine on a pole
3,person of kansas in the finals of the pole vault at the usa indoor championships on tuesday
3,a female pole vaulter is performing in the air
3,"person pole vaults during the women s national indoor championships, saturday, january 13, 2019, in indiana"
3,a woman jumps into a pole vault
3,a female pole vaulter jumping over the bar
3,the person olympic event on the men's pole vault
3,a male pole vaulter flies through the air in a pole vault
3,a person in mid air jumping in the pole vault
3,pole vaulter athlete in mid air at track and field - stock image
3,an athlete high jumps in a pole vault contest - stock image
3,male pole vaulting in action against blue sky - stock image
3,a pole vaulter jumps high in the air
3,young male pole vaulter flying through the air in the air
3,the pole vaulting competition at the track at the high school
3,a woman jumping with pole vaulter
3,a male athlete flies over a pole in a pole vault
3,a female athlete on an outdoor track during a pole vault event
3,a man in a pole vault competition is jumping with the poles
3,a pole vaulter in the air
3,a man performing a pole vault against a blue sky
3,a woman is in mid-air during pole vault
3,a young woman is pole vaulting in the air
3,an athlete performing a pole vaulting action
3,a girl running pole vaulting
3,a female pole vaulter soaring in the air during the competition
3,female athlete jumps in air over pole vault during sport event
3,a female pole vaulter in mid air above a fence
3,a female jumping high in a pole vault
3,a pole vaulter is flying in the air as she jumps
3,a pole vaulting girl is doing stunts in mid air
3,pole vault athlete in air with a view of a stadium
3,the sky at dusk on a pole vault competition
3,a girl is performing a pole vault in a stadium
3,a female pole vaulter is in the air as she hits her pole
3,a female pole vaulter in the air above her pole
3,a female pole vaulter in the air with her pole in mid air
3,"santa clara university men's pole vault, march 9, 2017"
3,a man jumping through a pole during a race
3,the pole vault competition is a favorite event at a college track and field meet
3,a track athlete in mid-air during a pole vault
3,a person is in the air doing the pole vault
3,a male athlete jumps over a pole in a pole vault competition
3,the pole vaulter is flying high above a palm tree
3,a woman on a pole vaulter
3,a woman in the air while pole vaulting
3,a male pole vaulter jumping in midair
3,a woman on a pole vault
3,pole vaulter is flying high in the air
3,a pole vaulter jumping over a pole
3,a female athlete competing in the pole vault
3,person competing in the pole vault
3,a person is jumping over a pole vault
3,"male athlete in pole vault at athletics event stock photo - premium royalty-free, code 609-09018978"
3,a woman jumps up high while pole vaulting
3,pole vaulter performs during the championship
3,a pole vaulter performing an off air stunt
3,a pole vaulter jumps over the bar
3,a man on pole vault doing flips on a track
3,the pole vault athlete in the air during a competition
3,a female pole vaulter in midair in the air
3,a female pole vaulter jumping through the air
3,a woman pole vaulting at an indoor competition
3,a pole vaulter is flying through the air
3,pole vaulter jumping high over a pole at a competition
3,a pole vaulter in mid air above the pole
3,pole vaulter in action in an arena
3,a female pole vaulter jumping in the air
3,a female athlete jumping over the pole vault
3,a pole vaulter jumps in the air while in mid air
3,the pole vault in a stadium with fans
3,a large stadium with a pole - vaulter over a bar
3,a woman in a black bikini pole vaults
3,the girls are trying to pole vault over poles
3,hms pole vault
3,a woman is doing the pole vault in midair
3,pole vaulting for women
3,the pole vaulter is performing an aerial routine
