label,generated_text
1,a asian man with white hair and a blue jacket standing outside
1,an elderly man laying down on a field
1,a man sitting in a chair with a white shirt
1,a man wearing a white shirt and a tie
1,man with white shirt and bow tie
1,an asian man wearing an orange shirt standing outside
1,a man and woman posing for a picture
1,a man with long hair
1,the man is smiling
1,a man in a brown coat is wearing a green bay packer shirt
1,a man with a mustache smiling next to green bay packer fans
1,a smiling man with sunglasses in a police uniform
1,"officer robert lenny, deltona police department, fl"
1,man with a head full of hair talking to people in an open area
1,a man with an apron and a hat
1,a man wearing an apron and cap in front of other people
1,a man with glasses wearing a suit and tie
1,an asian man wearing glasses and a suit and tie
1,a man in glasses looking serious in a white office
1,a man with long curly hair is standing with microphone
1,a man with long curly hair talking into a microphone
1,an image of a man in a suit with curly hair talking to a microphone
1,man is in front of large building
1,man with bald head and dark eyes looking at camera
1,an afro-american man sitting down and talking
1,a man with bald head in an outfit
1,a man with a bald head sits at a table
1,a man in a suit and tie smiles for the camera
1,man with long hair in suit
1,two young people are smiling for the camera
1,the woman is wearing a baseball cap
1,a man in a baseball cap stands in front of a field
1,a man is wearing a maroon cap in a field
1,a man in a suit smiles while standing at a sports arena
1,a man in a suit and tie smiling
1,a man in a suit and tie smiles while standing
1,man in red shirt
1,a man wearing a red shirt holding a bottle
1,a man wearing a red shirt
1,a smiling man with a mustache and bow tie
1,a smiling black man wearing a burgundy and black shirt
1,a man is smiling with sunglasses on
1,a man wearing sunglasses
1,a man wearing sunglasses
1,a woman and a man
1,the woman is wearing blue jeans
1,woman with glasses holding a pizza
1,man wearing sunglasses and black and yellow shirt
1,man sitting on a bench with a beer in hand
1,a man in white shirt and headband
1,a native american man is wearing sunglasses
1,a man in native attire holding a cellphone
1,a man with a hat standing on the beach with some people
1,a man with a hat and sunglasses smiling
1,man wearing a hat on the beach
1,a woman with blonde hair is looking shocked
1,the woman has a funny look on her face
1,a woman with long hair and beard talking
1,an indian man wears an orange scarf
1,a man wearing an orange robe staring at a building
1,an indian man is looking directly into the camera
1,an asian man making a funny gesture in front of a crowd
1,man with big ears and open mouth with no shirt on
1,a man making an odd face in front of other people
1,a woman standing in a kitchen with food and other items
1,a woman wearing a hat with hair on the front of her head
1,a man wearing a shirt and tie
1,a man smiles while standing on an airplane runway
1,a man is eating pizza while sitting at a table
1,man with glasses and shirt
1,a man with glasses
1,a man in military uniform is staring at a computer
1,an older man in a military uniform looks into the camera
1,a man in military uniform is standing with his hands folded
1,a man wearing a police hat and scarf
1,a man in a police hat and scarf
1,"scott m ohman jr, fcm"
1,phil gingold from swiss international school
1,a man wearing a helmet and sunglasses in the middle of the street
1,a man wearing a bike helmet
1,a woman is smiling and wearing sunglasses
1,a woman with white hair and sunglasses smiling
1,an older man wearing a white shirt sits on his front lawn
1,an older man smiling while he sits outside
1,a man wearing glasses and a striped shirt speaking into a microphone
1,a man in glasses holding a microphone in front of mountains
1,a man in glasses speaks into a microphone
1,a woman speaking in front of a wall with a canadian flag
1,an image of a woman speaking to a microphone
1,a man wearing a hat in a car
1,a man in a hat is wearing orange
1,a man wearing a black hat with orange shirt
1,man wearing glasses in a green shirt
1,a man wearing glasses
1,a man and woman smiling for the camera
1,"a woman with long, white hair"
1,a woman in a yellow hat
1,the man has gray hair
1,man with a brown jacket and tie
1,a man wearing a suit jacket
1,a man wearing a grey jacket and blue shirt
1,a man speaking to an audience in an empty area
1,a man with gray hair talking to the camera
1,a man wearing a gray coat with a tie is speaking
1,a man with grey hair speaking into a microphone
1,a man with earbuds is speaking into the microphone
1,a man wearing black shirt is talking into microphone
1,two women with long hair and a police officer
1,two female officers wearing uniforms and standing together
1,two black women wearing police uniforms
1,an older man smiling in front of trees
