label,generated_text
7,two horses are standing in the front of a stable
7,a horse standing in a stall with an electric fence
7,this is a horse riding through the pasture
7,the image shows a person riding a horse in the arena
7,a horse is being ridden down an arena
7,a person on a horse is riding in the arena
7,the northern lights'' horse art reveals the artist
7,the horse in white on the wall
7,white horse standing in front of the stall
7,an old woman walking with her white horse
7,a white horse standing on grass in an enclosure
7,a white horse sits in a room with wood flooring
7,a white horse sitting on the floor in an empty room
7,a white horse on a wooden floor in an old room
7,a brown horse with a white face looking at someone
7,a horse is looking at a tree and looking at the ground
7,a brown horse with its mouth open in the dirt
7,person and her horse are riding in the field
7,a grey horse in a field with dirt all around
7,a gray horse standing on the ground with its back to the ground
7,a horse rearing up and looking at the camera
7,a painting of a man riding a horse through a forest
7,a horse in the river is shown in a painting
7,person the great warrior on horseback 2
7,a horse laying down and a dog standing next to him
7,a horse is looking at the camera while eating in the snow
7,a white horse standing on a white background
7,the white horse is in a neutral setting
7,"white rhinestones horse snort head sticker, cartoon cute, pet, sticker animal, for kids"
7,the christmas tree has a white deer on it
7,this horse has a brown nose and white mane
7,a black and white llama and a white horse
7,a photo of a horse standing on it's hind legs
7,a horse rears up after a jump
7,this beautiful horse is jumping in the field
7,a white horse with a light blue background
7,it's all about the horses'' - this year's wpw gda equestrian
7,a man playing frisbee with his horse
7,a dog is laying down in the grass
7,a man on a horse by a lake
7,girl riding a horse on the beach
7,horse riding simulator for free online games 0
7,the small brown horse in the yellow field
7,a brown horse in a yellow field
7,a man riding a horse through the woods
7,a horse rides through a forest filled with green grass
7,a person riding a horse down a green trail
7,a horse standing on the grass in a barn
7,a horse is running in a field on a green day
7,a brown horse in a grassy field
7,a horse in a grassy field with mountain views
7,a white horse standing in a field with grass
7,an image of a horse standing in a field
7,"person farm, the most important horse event of the year 6"
7,horse in a wooden stall with grass
7,person horses on the fairgrounds 10
7,a horse in a white dress running around a green field
7,"the cover of the equine newsletter, showing a person riding a horse"
7,a mouse pad that features a horse on a fence
7,a horse is on the back of a wooden box
7,the statue of a brown horse is sitting on the ground
7,a horse in a sleigh
7,a painting of a white horse in an open field
7,the san juan bay horse in a field
7,a painting of a horse standing in the field
7,a brown horse is standing in the grass
7,an orange and brown horse in the grass
7,a horse standing next to a fence with trees behind it
7,a woman is riding a horse on the dirt road
7,a person riding a horse under trees in a dirt field
7,a man riding a horse on an open field
7,two pictures of a horse in a barn and a horse in the grass
7,horses eating in a stall
7,a horse is eating in a stable
7,two horses with dapple coats standing in a grassy field
7,two brown horses and two white horses on the grass
7,two horses standing in the field
7,an artwork of a horse looking out over a hayfield
7,a close up of a horse in a field
7,painting of a horse in a field
7,a gray horse running across a dirt track
7,a grey horse running inside an enclosed pen
7,a grey horse running through the dirt
7,a brown horse stands in a pen near a fence
7,a small horse in the pen with the owner
7,a brown horse is standing in a stall
7,a painting of a small cat with orange flowers
7,a painting of a brown horse in purple
7,a brown horse with its head raised
7,a horse running on a white background
7,a white horse is backed up and running
7,a large white horse running in the air
7,a white horse is standing next to a man
7,an animal trainer stands next to a white horse
7,a man walking the horse in the arena
7,a white horse is standing in front of a white background
7,the white horse is standing in front of the white background
7,white horse stands in front of a white background
7,a picture of a cat is shown in a dark room
7,person the black cat a person of great beauty and a great pet 9
7,the horse that was being trained for the rodeo
7,the horse has an ear tag and a leash
7,a horse stands in a field with some trees behind it
7,horse looking out of the fence at the forest
7,a rider sits on a brown horse while in front of a house
7,riding lessons for beginners on a horse in san bernardino ca
7,a person rides a horse in a courtyard
7,a horse that is holding a stick
7,a horse in the dark with a horn
7,a toy horse is walking in front of a white background
7,this is a toy horse that is running along a white background
7,playskool - unicorn toys - silver grey - horse - toy
7,a horse standing in a barn inside of a pen
7,a white horse standing in the stall next to a wooden fence
7,a horse standing in a room with a door
7,a gray horse is standing in the grass
7,a grey horse standing by a tree
7,a white horse stands alone in a grassy field
7,a white horse is standing in the grass
7,a white horse standing in the middle of a field
7,a white plastic figurine of a horse on top of a stand
7,a figurine of a person and a horse riding on a black background
7,black and white statue with a black buck horse
