label,generated_text
1,a woman with short curly hair and a scarf
1,"a woman wearing a blue shirt, gold necklace and a black and white scarf"
1,blue and white scarf
1,an orange scarf on a police officer
1,a man wearing a blue hat and orange scarf
1,a man in a black helmet with orange scarf
1,john mcintosh – speaker & educator
1,a lady smiling with a scarf
1,the brown scarf on the woman
1,photo of carolyne linley mphil &amp; phd
1,the man has on a beret and is holding a bird
1,an indian man wearing a white shirt and a blue and white scarf
1,the man wearing the hat with the bird on it sits in front of green leaves
1,a woman smiles with an orange scarf
1,a woman smiling wearing an orange and blue scarf
1,two men in suits looking into car
1,the cardinal wears a white shirt and clerical collar
0,a girl in a orange and black scarf
0,a girl eating a red hot dog
0,young girl with glasses smiling and holding a hotdog
0,young girl with painted cat face on her face at event
0,young girl with cat face painted on a white background
0,a child with cat paint on her face
0,woman wearing blue scarf in front of church
0,an interesting woman is smiling while standing in front of a cathedral
0,a young woman in glasses wearing a scarf outside
0,a child holding a toy car
0,the woman has a pink head scarf
0,a person wearing glasses and a scarf
0,a black and white scarf on the woman
0,a woman with dark hair wearing a purple head scarf
0,the statue of the mother in the catholic church
0,a girl with a face painting with blue and blue bird painted on her face
0,scott hudson head of communications at jmcc
0,a smiling woman wears a head scarf
0,young woman wearing black scarf smiling in front of trees
