label,generated_text
1,a man wearing a white cowboy hat
1,a man wearing a white cowboy hat
1,a man wearing a white cowboy hat
1,a man with long hair and a suit
1,a man with long hair and a suit
1,a man with long hair and a suit
1,a man with a zombie face
1,a man with a zombie face
1,a man with a zombie face
1,a man wearing a hat and sunglasses
1,a man wearing a hat and sunglasses
1,a man wearing a hat and sunglasses
1,a woman with curly hair and sunglasses smiling
1,a woman with curly hair and sunglasses smiling
1,a woman with curly hair and sunglasses smiling
1,a woman in an orange sari speaking into a microphone
1,a woman in an orange sari speaking into a microphone
1,a woman in an orange sari speaking into a microphone
1,a man in a pink shirt and a green shirt
1,a man in a pink shirt and a green shirt
1,a man in a pink shirt and a green shirt
1,a man with a tattoo on his face
1,a man with a tattoo on his face
1,a man with a tattoo on his face
1,a man in a suit and tie is looking at his hand
1,a man in a suit and tie is looking at his hand
1,a man in a suit and tie is looking at his hand
1,a woman with long brown hair smiling
1,a woman with long brown hair smiling
1,a woman with long brown hair smiling
1,a man wearing a red shirt
1,a man wearing a red shirt
1,a man wearing a red shirt
1,a man with short hair smiling
1,a man with short hair smiling
1,a man with short hair smiling
1,a woman with red hair
1,a woman with red hair
1,a woman with red hair
1,a man in military uniform speaking into a microphone
1,a man in military uniform speaking into a microphone
1,a man in military uniform speaking into a microphone
1,a woman in a floral dress is standing in front of a tree
1,a woman in a floral dress is standing in front of a tree
1,a woman in a floral dress is standing in front of a tree
1,a man with long hair and a black shirt
1,a man with long hair and a black shirt
1,a man with long hair and a black shirt
1,a man holding a bottle of sprite
1,a man holding a bottle of sprite
1,a man holding a bottle of sprite
1,a man and woman in the snow
1,a man and woman in the snow
1,a man and woman in the snow
1,a man with a mustache and a smile
1,a man with a mustache and a smile
1,a man with a mustache and a smile
1,a man wearing a mickey mouse hat
1,a man wearing a mickey mouse hat
1,a man wearing a mickey mouse hat
1,a man with long hair singing into a microphone
1,a man with long hair singing into a microphone
1,a man with long hair singing into a microphone
1,a man wearing a hat and a shirt
1,a man wearing a hat and a shirt
1,a man wearing a hat and a shirt
1,a man with pink mohawk and a leather jacket
1,a man with pink mohawk and a leather jacket
1,a man with pink mohawk and a leather jacket
1,a woman wearing pink minnie ears and sunglasses
1,a woman wearing pink minnie ears and sunglasses
1,a woman wearing pink minnie ears and sunglasses
1,a woman with red hair is speaking into a microphone
1,a woman with red hair is speaking into a microphone
1,a woman with red hair is speaking into a microphone
1,a man in a police uniform and hat
1,a man in a police uniform and hat
1,a man in a police uniform and hat
1,a man with a mustache and white shirt
1,a man with a mustache and white shirt
1,a man with a mustache and white shirt
1,a man with sunglasses and a leather jacket
1,a man with sunglasses and a leather jacket
